,,,,,,,,,,,
॥,स स,ग ग ,रि रि,म म  ,।,स स ,रि रि,।,ग ग,म म,॥
,,,,,,,,,,,
॥,रि रि,म म,ग ग,प प,।,रि रि,ग ग ,।,म म  ,प प,॥
,,,,,,,,,,,
॥,ग ग ,प प,म म  ,द द,।,ग ग,म म,।,प प,द द,॥
,,,,,,,,,,,
॥,म म,द द,प प,नि नि,।,म म,प प,।,द द,नि नि,॥
,,,,,,,,,,,
॥,प प ,नि नि ,द द,$\tar{स}$ $\tar{स}$,।,प प,द द,।,नि नि,$\tar{स}$ $\tar{स}$,॥
,,,,,,,,,,,
॥,$\tar{स}$ $\tar{स}$,द द,नि नि,प प,।,$\tar{स}$ $\tar{स}$,नि नि,।,द द ,प प,॥
,,,,,,,,,,,
॥,नि नि,प प,द द,म म  ,।,नि नि,द द,।,प प,म म,॥
,,,,,,,,,,,
॥,द द,म म,प प,ग ग,।,द द,प प,।,म म  ,ग ग,॥
,,,,,,,,,,,
॥,प प ,ग ग ,म म  ,रि रि,।,प प,म म,।,ग ग,रि रि,॥
,,,,,,,,,,,
॥,म म,रि रि,ग ग,स स,।,म म,ग ग ,।,रि रि,स स,॥
